ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36877.82,9636.48
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,15.95,15.95
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,42959.03,9055.28
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,37675.77,35169.59
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25069.82,1924.48
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21170.55,7984.91
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8343.1,592.57
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1666734.75,556057.97
2024 HON. MADELEINE DEAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1666734.75,556057.97
2024 HON. MADELEINE DEAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,41957.84,14931.19
2024 HON. MADELEINE DEAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,41957.84,14931.19
2024 HON. MADELEINE DEAN,INTERN ALLOWANCES,OFFICE TOTALS:,41957.84,14931.19
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,114.74,24.22
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1366961.52,381758.72
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,73934.13,19227.31
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,77480.55,34516.9
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13167.35,11411.25
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21956.3,10725
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,42245.5,28455.14
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10994.16,4376.2
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1606854.25,490494.74
2024 HON. DIANA DEGETTE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1606854.25,490494.74
2024 HON. DIANA DEGETTE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46664.97,14310.5
2024 HON. DIANA DEGETTE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46664.97,14310.5
2024 HON. DIANA DEGETTE,INTERN ALLOWANCES,OFFICE TOTALS:,46664.97,14310.5
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5262.43,43.96
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1388500.61,354909.23
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17603.46,11302.27
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,119802.02,36400.42
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2649.24,588.01
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26297.98,6655.52
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13031.85,3877.19
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4989.45,411
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1578137.04,414187.6
2024 HON. ROSA L. DELAURO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1578137.04,414187.6
2024 HON. ROSA L. DELAURO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46797.83,17183.12
2024 HON. ROSA L. DELAURO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46797.83,17183.12
2024 HON. ROSA L. DELAURO,INTERN ALLOWANCES,OFFICE TOTALS:,46797.83,17183.12
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,593.42,347.34
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1643753.34,463341.69
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51852.77,10772.04
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30613.07,9641.19
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2820.18,1976.5
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,61477.57,16391.14
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14633.39,5377.31
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5947.13,2941.13
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1811690.87,510788.34
2024 HON. SUZAN K. DELBENE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1811690.87,510788.34
2024 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,45484.15,17726.5
2024 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,45484.15,17726.5
2024 HON. SUZAN K. DELBENE,INTERN ALLOWANCES,OFFICE TOTALS:,45484.15,17726.5
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,61451.09,2479.27
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1259912.57,319999.35
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,94792.36,31583.85
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,84471.44,24978.49
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,94863.49,8811.47
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14438.26,104.33
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,55256.84,27382.73
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14057.93,-66
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1679243.98,415273.49
2024 HON. CHRISTOPHER R. DELUZIO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1679243.98,415273.49
2024 HON. CHRISTOPHER R. DELUZIO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46586.97,7640
2024 HON. CHRISTOPHER R. DELUZIO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46586.97,7640
2024 HON. CHRISTOPHER R. DELUZIO,INTERN ALLOWANCES,OFFICE TOTALS:,46586.97,7640
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,51506.92,40150.56
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1465453.4,431817.85
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29146.39,7209.38
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43423.15,15245.88
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,45704.19,19814.99
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21172.47,4225.95
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13910.87,5194.53
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3602,1639
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1673919.39,525298.14
2024 HON. MARK DESAULNIER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1673919.39,525298.14
2024 HON. MARK DESAULNIER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,44200,191.26
2024 HON. MARK DESAULNIER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,44200,191.26
2024 HON. MARK DESAULNIER,INTERN ALLOWANCES,OFFICE TOTALS:,44200,191.26
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1733.46,888.85
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1232015.61,401325.01
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,88758.71,19424.59
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,36294.35,13515.19
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,861.13,623
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5314.49,1581.97
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,56436.76,43154.59
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5939.93,858.74
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1427354.44,481371.94
2024 HON. SCOTT DESJARLAIS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1427354.44,481371.94
2024 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26600,5333.33
2024 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,26600,5333.33
2024 HON. SCOTT DESJARLAIS,INTERN ALLOWANCES,OFFICE TOTALS:,26600,5333.33
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50175.46,89.36
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1335947.56,362293.73
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,103130.26,25816.44
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,179193.83,44837.3
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,85035.5,5002.5
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20662.17,4643.21
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,32953.81,10370.42
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,31290,26588.22
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1838388.59,479641.18
2024 HON. MARIO DIAZ-BALART,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1838388.59,479641.18
2024 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46599.97,14116.64
2024 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46599.97,14116.64
2024 HON. MARIO DIAZ-BALART,INTERN ALLOWANCES,OFFICE TOTALS:,46599.97,14116.64
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,60472.23,35248.11
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1444789.01,468680
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27899.24,8959.15
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51124.34,24978.33
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,58080.89,351.9
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19623.45,9696
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,38671.87,29453.62
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8052.32,955
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1708713.35,578322.11
2024 HON. DEBBIE DINGELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1708713.35,578322.11
2024 HON. DEBBIE DINGELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,45569.96,5646.66
2024 HON. DEBBIE DINGELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,45569.96,5646.66
2024 HON. DEBBIE DINGELL,INTERN ALLOWANCES,OFFICE TOTALS:,45569.96,5646.66
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1049.73,531.15
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1531070.94,444924.6
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32300.52,5900
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,106849.07,29883.01
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1710.5,0
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17230.9,4111.68
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,38408.79,16032.1
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8571.33,6585.86
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1737191.78,507968.4
2024 HON. LLOYD DOGGETT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1737191.78,507968.4
2024 HON. LLOYD DOGGETT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,44346.22,15180
2024 HON. LLOYD DOGGETT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,44346.22,15180
2024 HON. LLOYD DOGGETT,INTERN ALLOWANCES,OFFICE TOTALS:,44346.22,15180
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,34935.5,-8.81
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1194533.66,378216.65
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,68708.31,26020.79
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,85130.72,58478.01
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,59751.59,212.37
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,659.69,22.89
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34610.05,7442.55
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1860,-768
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1480189.52,469616.45
2024 HON. BYRON DONALDS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1480189.52,469616.45
2024 HON. BYRON DONALDS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,33510.04,10693.34
2024 HON. BYRON DONALDS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,33510.04,10693.34
2024 HON. BYRON DONALDS,INTERN ALLOWANCES,OFFICE TOTALS:,33510.04,10693.34
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30076.59,29729.08
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1112129.91,352747.33
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,142063.08,46287
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46680.11,10598.79
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,325041.38,170160.14
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3675.86,1925
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,32194.4,19119.65
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2427.64,363.3
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1694288.97,630930.29
2024 HON. JOHN S. DUARTE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1694288.97,630930.29
2024 HON. JOHN S. DUARTE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31788.33,14268.33
2024 HON. JOHN S. DUARTE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,31788.33,14268.33
2024 HON. JOHN S. DUARTE,INTERN ALLOWANCES,OFFICE TOTALS:,31788.33,14268.33
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1362.46,626.61
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1411823.95,351000.02
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,101894.2,23500.6
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21362.3,6122.33
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1700.79,178.55
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6164.08,3025
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34640.17,26314.56
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,56559.89,16875.03
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1635507.84,427642.7
2024 HON. JEFF DUNCAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1635507.84,427642.7
2024 HON. JEFF DUNCAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,44139.61,4080
2024 HON. JEFF DUNCAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,44139.61,4080
2024 HON. JEFF DUNCAN,INTERN ALLOWANCES,OFFICE TOTALS:,44139.61,4080
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,57365.55,76.49
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1364181.8,424203.15
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,107472.95,19732.9
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69984.78,7101.79
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,56484.8,491.22
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22572.14,12297.97
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15638.76,1627.4
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1695.41,0
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1695396.19,465530.92
2024 HON. NEAL P. DUNN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1695396.19,465530.92
2024 HON. NEAL P. DUNN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,34576.87,7593.33
2024 HON. NEAL P. DUNN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,34576.87,7593.33
2024 HON. NEAL P. DUNN,INTERN ALLOWANCES,OFFICE TOTALS:,34576.87,7593.33
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16702.01,946.87
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1312807.69,380191.64
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,199033.58,45097.24
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,185640.87,16443.61
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,98621.37,7075.52
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6276.96,12.71
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31974.16,7967.03
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5952.01,861
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1857008.65,458595.62
2024 HON. CHUCK EDWARDS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1857008.65,458595.62
2024 HON. CHUCK EDWARDS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30943.33,9650
2024 HON. CHUCK EDWARDS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,30943.33,9650
2024 HON. CHUCK EDWARDS,INTERN ALLOWANCES,OFFICE TOTALS:,30943.33,9650
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,632.25,26.31
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1503048.7,442541.68
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,113152.86,31041.67
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,97477,19993.36
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2075.43,231.11
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,49763,14973
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25916.07,8901.7
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10281.41,2317
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1802346.72,520025.83
2024 HON. JAKE ELLZEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1802346.72,520025.83
2024 HON. JAKE ELLZEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,27820.01,5606.67
2024 HON. JAKE ELLZEY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27820.01,5606.67
2024 HON. JAKE ELLZEY,INTERN ALLOWANCES,OFFICE TOTALS:,27820.01,5606.67
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,102470.01,4597.78
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1200565.7,339113.94
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,63930.89,14542.6
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37330.27,6989.68
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,92079.57,6104.19
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36063.25,12095
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,47073.65,30462.05
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,590.63,149.28
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1580103.97,414054.52
2024 HON. TOM EMMER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1580103.97,414054.52
2024 HON. TOM EMMER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14033.34,0
2024 HON. TOM EMMER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14033.34,0
2024 HON. TOM EMMER,INTERN ALLOWANCES,OFFICE TOTALS:,14033.34,0
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,41392.71,33294.31
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1373650.76,440504.85
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,79206.53,20996.41
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69114.83,23450.21
